,0
0,30635
1,9845
2,93018
3,65870
4,1122983
5,205567
6,46930
7,392163
8,15006
9,29170
10,106249
11,175002
12,62251
13,72678
14,180891
15,105601
16,463523
17,569531
18,82185
19,982317
20,179472
21,61528
22,405
23,39922
24,350975
25,325
26,77621
27,38216
28,59850
29,45680
30,99018
31,14778
32,117330
33,32105
34,406470
35,32717
36,23713
37,10055
38,42765
39,7033
40,483523
41,93797
42,218043
43,394153
44,87615
45,42743
46,46021
47,1817
48,29716
49,24287
50,21917
51,69026
52,450948
53,503562
54,3638
55,160580
56,141844
57,6899
58,52821
59,167180
60,35112
61,4941
62,1185390
63,84800
64,114546
65,24137
66,190452
67,192705
68,191948
69,29264
70,120295
71,385704
72,564140
73,268295
74,100414
75,768403
76,40751
77,501068
78,10375
79,13335
80,796872
81,63025
82,688532
83,29210
84,29658
85,131200
86,26051
87,96572
88,592188
89,113348
90,195768
91,35152
92,262197
93,154894
94,256998
95,88787
96,569512
97,833696
98,236160
99,86927
